repo,stars,forks,dependencies,dev_dependencies,vulnerable_deps,cves,path_usado
prettier/prettier,51117,4599,79,49,14,"['GHSA-6chw-6frg-f759', 'GHSA-h6ch-v84p-w6p9', 'GHSA-9pv7-vfvm-6vr7', 'GHSA-9c47-m6qq-7p4h', 'GHSA-952p-6rrq-rcjv', 'GHSA-vh95-rmgr-6w4m', 'GHSA-xvch-5gv4-984h', 'GHSA-566m-qj78-rww5', 'GHSA-7fh5-64p2-3v2j', 'GHSA-hwj9-h5mp-3pm3', 'GHSA-pqhp-25j4-6hq9', 'MAL-2025-46980', 'GHSA-7p7h-4mm5-852v', 'GHSA-f9xv-q969-pqx4']",root
TryGhost/Ghost,51066,11132,0,0,0,[],
Mintplex-Labs/anything-llm,50526,5325,0,0,0,[],
chinese-poetry/chinese-poetry,50267,10122,0,0,0,[],
poteto/hiring-without-whiteboards,50114,3873,9,0,0,[],root
agalwood/Motrix,49607,4739,2,71,8,"['GHSA-r683-j2x4-v87g', 'GHSA-vp56-6g26-6827', 'GHSA-w7rc-rwvf-8q5r', 'GHSA-2mhh-w6q8-5hxw', 'GHSA-3h5v-q93c-6h6q', 'GHSA-5v72-xg48-5rpm', 'GHSA-6663-c963-2gqg', 'GHSA-6fc8-4gx4-v693']",root
NARKOZ/hacker-scripts,48904,6661,0,0,0,[],
iamkun/dayjs,48336,2381,0,0,0,[],
moment/moment,48076,7041,0,0,0,[],
algorithm-visualizer/algorithm-visualizer,47934,7469,34,0,15,"['GHSA-42xw-2xvc-qx8m', 'GHSA-4hjh-wcwx-xvwj', 'GHSA-4w2v-q235-vp99', 'GHSA-8hc4-vh64-cxmj', 'GHSA-cph5-m8f7-6c5x', 'GHSA-jr5f-v2jv-69x6', 'GHSA-wf5p-g6vw-rhxx', 'GHSA-h68q-55jf-x68w', 'GHSA-9v62-24cr-58cx', 'GHSA-r8f7-9pfq-mjmv', 'GHSA-g53w-52xc-2j85', 'GHSA-hg79-j56m-fxgv', 'GHSA-mvjj-gqq2-p4hw', 'GHSA-cpj6-fhp6-mr6j', 'GHSA-f46r-rw29-r322']",root
serverless/serverless,46885,5746,68,36,39,"['GHSA-v88g-cgmw-v5xw', 'GHSA-rrc9-gqf8-8rwg', 'GHSA-qgfr-5hqp-vrw9', 'GHSA-67mh-4wv8-2f99', 'GHSA-8g7p-74h8-hg48', 'GHSA-pc5p-h8pf-mvwp', 'GHSA-2pr6-76vf-7546', 'GHSA-8j8c-7jfh-h6hx', 'GHSA-xxvw-45rp-3mj2', 'GHSA-29mw-wpgm-hmr9', 'GHSA-35jh-r3h4-6jhm', 'GHSA-4xc9-xhrj-v574', 'GHSA-fvqr-27wr-82fm', 'GHSA-jf85-cpcp-j695', 'GHSA-p6mc-m468-83gw', 'GHSA-x5rq-j2xg-h7qm', 'GHSA-952p-6rrq-rcjv', 'GHSA-28xh-wpgr-7fm8', 'GHSA-c2qf-rxjj-qqgw', 'GHSA-x6fg-f45m-jf5q', 'GHSA-28xr-mwxg-3qc8', 'GHSA-3f95-r44v-8mrg', 'GHSA-9p95-fxvg-qgq2', 'GHSA-9w5j-4mwv-2wj8', 'MAL-2025-46980', 'MAL-2025-46981', 'GHSA-3jfq-g458-7qm9', 'GHSA-5955-9wpr-37jh', 'GHSA-9r2w-394v-53qc', 'GHSA-f5x3-32g6-xq36', 'GHSA-gfjr-3jmm-4g9v', 'GHSA-j44m-qm6p-hp7m', 'GHSA-qq89-hq3f-393p', 'GHSA-r628-mhmh-qjhw', 'GHSA-2mhh-w6q8-5hxw', 'GHSA-3h5v-q93c-6h6q', 'GHSA-5v72-xg48-5rpm', 'GHSA-6663-c963-2gqg', 'GHSA-6fc8-4gx4-v693']",root
typescript-cheatsheets/react,46745,4258,3,3,0,[],root
bigskysoftware/htmx,46354,1529,0,0,0,[],
Asabeneh/30-Days-Of-JavaScript,45530,10355,0,0,0,[],
google/zx,44764,1177,0,0,0,[],
meteor/meteor,44748,5263,0,0,0,[],
LeCoupa/awesome-cheatsheets,44632,6604,0,0,0,[],
microsoft/monaco-editor,44449,3895,0,0,0,[],
parcel-bundler/parcel,43992,2269,1,24,0,[],root
Leaflet/Leaflet,43837,6018,0,0,0,[],
